WL[nm],[T%]
200,-0.000835156
201,-0.000526829
202,-0.000578918
203,-0.000480297
204,-0.000468352
205,-0.000499482
206,-0.000450113
207,-0.000552703
208,-0.000572285
209,-0.000261047
210,-0.000601046
211,-0.000475551
212,-0.000250915
213,-0.000308762
214,-0.000263662
215,-0.000206078
216,-0.000516148
217,-0.000539129
218,-4.82E-05
219,-0.000477122
220,-0.000156803
221,-0.000448017
222,-9.11E-05
223,-0.000366233
224,-0.000294966
225,-0.000124292
226,-0.000455024
227,-0.000223963
228,-0.000133402
229,-0.000221675
230,-0.000254137
231,-0.000161609
232,-0.000197712
233,-0.000277446
234,-0.000169447
235,-0.000210581
236,-0.000189372
237,-0.000297083
238,-0.000138898
239,-0.000308347
240,-0.000160615
241,-0.000276336
242,-0.000262351
243,-0.000265394
244,-0.000317348
245,-0.000145583
246,-0.000251847
247,-0.00038567
248,-0.000174738
249,-0.000286424
250,-0.000137184
251,-0.000233866
252,-0.000183432
253,-0.000201906
254,-8.27E-05
255,-0.000175644
256,-0.000159932
257,-0.00024786
258,-0.000206337
259,-0.00024929
260,-0.000171699
261,-0.000172433
262,-0.000272341
263,-2.34E-05
264,-0.00015911
265,-0.000264664
266,-0.000245086
267,8.446595166e-05
268,0.000116427
269,-8.49E-07
270,-4.08E-05
271,0.000303631
272,0.000185163
273,9.339820826e-05
274,0.000102116
275,0.000414037
276,0.000355398
277,0.000271403
278,0.000273731
279,0.000122286
280,0.000407692
281,0.000322897
282,0.00028065
283,0.000198685
284,9.345622675e-05
285,0.000227013
286,8.936473751e-05
287,0.000389575
288,7.132323663e-05
289,4.228969919e-05
290,0.000329487
291,6.249313446e-05
292,0.000106558
293,0.000698804
294,0.000146062
295,0.000355874
296,-0.000195422
297,-0.000211142
298,0.00012747
299,5.824880282e-05
300,0.000298125
301,0.000671506
302,-2.63E-06
303,-6.90E-05
304,-0.000112663
305,-0.000108066
306,0.000335709
307,0.000292007
308,0.000822096
309,0.00076627
310,0.000113985
311,-4.49E-05
312,-0.000200074
313,0.000168822
314,-8.18E-05
315,0.000582115
316,0.001450158
317,0.001040812
318,0.000526912
319,-7.94E-05
320,-2.40E-05
321,-0.000128538
322,0.00049457
323,0.000589011
324,0.000293317
325,-1.79E-05
326,3.177432154e-05
327,-0.000167518
328,-0.000166278
329,-0.000175583
330,0.000234842
331,-0.000213714
332,-0.000294411
333,-0.000232917
334,-4.75E-06
335,-0.000176445
336,-0.000174846
337,-0.000374699
338,-0.00021183
339,-0.00047596
340,-0.000152734
341,-0.000361313
342,-0.000186802
343,-0.000240349
344,-0.000199887
345,-0.000196872
346,-0.000138184
347,0.000176704
348,0.000729749
349,-0.002415466
350,-0.000284943
351,-8.39E-05
352,-0.000349283
353,-1.19E-06
354,-7.72E-06
355,-0.000403071
356,-2.71E-05
357,4.526631528e-05
358,-0.000370681
359,-0.000123756
360,-4.08E-05
361,-0.000276239
362,-0.000195363
363,-0.000114234
364,-6.12E-05
365,-0.000350089
366,-0.00016552
367,-0.000216073
368,-0.000126786
369,-6.43E-05
370,-0.00036505
371,-0.000128763
372,-4.46E-05
373,-6.91E-05
374,-4.89E-05
375,-0.000434788
376,-0.000216513
377,-5.13E-05
378,-1.53E-05
379,-0.000102401
380,5.900943142e-05
381,-0.000319884
382,4.562906724e-06
383,9.962601325e-05
384,0.000146237
385,0.000135768
386,0.000272952
387,-7.97E-05
388,0.000135359
389,0.000266202
390,0.000231674
391,0.000274933
392,9.754655912e-05
393,0.000448591
394,0.000633418
395,0.00079411
396,0.001289017
397,0.001134308
398,0.002036772
399,0.00272887
400,0.003899631
401,0.005365756
402,0.00833466
403,0.0119754
404,0.01791513
405,0.026585318
406,0.039899047
407,0.059453834
408,0.087623961
409,0.127953589
410,0.183006465
411,0.260211885
412,0.36715582
413,0.518289506
414,0.739737511
415,1.066964746
416,1.587173343
417,2.438039541
418,3.868000984
419,6.400451183
420,11.00603676
421,19.33709717
422,33.47330856
423,52.89353561
424,73.73929596
425,88.36924744
426,93.81240082
427,93.11576843
428,90.6765976
429,88.77828979
430,88.10728455
431,88.42376709
432,89.3901825
433,90.68656921
434,92.02709198
435,93.33571625
436,94.47057343
437,95.47483826
438,96.29820251
439,96.76890564
440,96.90640259
441,96.68054962
442,96.21567535
443,95.534935
444,94.73776245
445,93.92857361
446,93.24881744
447,92.79641724
448,92.60442352
449,92.66458893
450,92.98802185
451,93.46735382
452,94.05859375
453,94.75624847
454,95.36401367
455,95.81858063
456,96.13394165
457,96.26390076
458,96.23149109
459,96.05401611
460,95.76837158
461,95.43578339
462,95.16116333
463,94.93939209
464,94.83992767
465,94.83869171
466,94.93373108
467,95.16127777
468,95.44202423
469,95.80083466
470,96.14439392
471,96.44168854
472,96.73905945
473,96.98536682
474,97.13954163
475,97.20831299
476,97.19622803
477,97.09711456
478,96.98080444
479,96.84223175
480,96.6591568
481,96.48468781
482,96.31616211
483,96.23524475
484,96.17075348
485,96.09932709
486,96.03604889
487,96.02664185
488,96.05725861
489,96.08048248
490,96.0967865
491,96.11833954
492,96.13305664
493,96.19891357
494,96.25447083
495,96.27163696
496,96.25031281
497,96.24967957
498,96.26947784
499,96.29308319
500,96.30819702
501,96.32171631
502,96.31903839
503,96.38414001
504,96.41059113
505,96.43386078
506,96.43414307
507,96.4211731
508,96.43318939
509,96.45278168
510,96.46932983
511,96.43471527
512,96.41773987
513,96.37643433
514,96.35503387
515,96.34585571
516,96.27321625
517,96.21231842
518,96.20326996
519,96.20104218
520,96.20967865
521,96.18053436
522,96.17711639
523,96.19631195
524,96.23154449
525,96.25667572
526,96.26689148
527,96.28881836
